input_set_id,prior_spl_id,latest_spl_id,prior_is_plr_from_01,latest_is_plr_from_01,both_are_plr_from_01,prior_is_plr_from_xml,latest_is_plr_from_xml,keep_pair_both_plr,prior_contraindications_sections,prior_warnings_sections,prior_adverse_reactions_sections,prior_drug_interactions_sections,latest_contraindications_sections,latest_warnings_sections,latest_adverse_reactions_sections,latest_drug_interactions_sections
e07af8c9-559c-5a93-e053-2a95a90a2c63,e07af86f-aea6-5a91-e053-2a95a90a3795,4cc65188-16cc-8814-e063-6394a90a0fc8,True,True,True,True,True,True,1,3,4,1,1,3,4,1
9c68f89b-1d34-4735-9631-817f012935d7,d610062d-3995-dec3-e053-2995a90a9ca1,4cc2fbda-eb50-c09c-e063-6394a90a9315,True,True,True,True,True,True,1,1,1,1,1,1,2,1
bd86b293-dab9-4d37-95eb-2bffca335d16,91447af3-b3d6-4ffe-8c89-1869a22373ba,4cc29310-2a31-9e2e-e063-6294a90a8e5d,True,True,True,True,True,True,1,2,2,2,1,1,3,2
b51da8d7-ab4a-4c40-97c9-88bd379366d1,b403498a-775f-1d13-e053-2a95a90ab34d,4cc25d36-a09a-4f23-e063-6294a90a665d,True,True,True,True,True,True,1,5,3,1,1,5,3,1
c971b50d-0f78-422f-abee-1c5b4e1d20e7,b8dfa252-0f9d-9e68-e053-2995a90a7596,ab939570-1437-4742-952e-a93d011d0c05,True,True,True,True,True,True,1,1,2,1,1,1,3,1
4cc6615b-5447-9c0e-e063-6394a90a2883,9c9f9120-2bbc-48ce-e053-2995a90a0b76,4cc66165-6578-6735-e063-6294a90ac4c8,True,True,True,True,True,True,1,1,1,1,1,1,5,1
5dc20c8f-0d8f-400c-b850-fe1b7e3e75e3,9853c9a4-1176-4ff0-b03e-19f2924fd093,4cb196aa-25b1-0452-e063-6394a90a5ebf,True,True,True,True,True,True,2,2,4,1,2,2,4,1
c1d1726f-75c6-4c07-b5ff-565c4c4ca904,b8dfb680-8a9c-5315-e053-2995a90aa59d,4caa848e-675a-3a63-e063-6294a90ad28a,True,True,True,True,True,True,1,1,2,1,1,1,2,1
367d508b-3226-42a9-8dc6-f67cdc9979f3,d61bf800-8542-75ea-e053-2a95a90aca60,64c3d286-0b83-47f5-bd49-500ddf9dd76a,True,True,True,True,True,True,1,1,1,1,1,1,1,1
e68c9b18-e7fd-45f7-a8f5-1d815e32680b,872365ca-0c2b-550a-e053-2a91aa0ab25a,4c082ad1-65d7-7db1-e063-6394a90a3f8e,True,True,True,True,True,True,1,1,1,1,1,1,2,2
3609727e-21e1-4e39-b158-ec3518a3ff09,ba26436d-7009-476f-23b0-45676a0e7805,4c607f76-42b3-1152-e063-6394a90a6648,True,True,True,True,True,True,1,2,4,1,1,2,3,1
e6ffcc56-63f9-4b12-a07a-c6177ffef5e8,ad82611b-9883-4583-95bd-17a021346db5,4c557545-1a58-5183-e063-6394a90a1028,True,True,True,True,True,True,1,1,5,1,1,2,3,1
3ea7612b-b004-43ef-accc-34c8ec5146b8,a04f5824-f355-4b98-b7cd-782233f0a64a,8d94d098-d4f5-488c-8cc9-d21f32b727ec,True,True,True,True,True,True,1,1,3,3,1,1,3,3
df43938a-3469-40eb-8166-f0a2fd29d6d8,77d3d923-8571-4523-8e69-234ebeb7a5fd,54e61f27-1a30-4d62-8709-f7fe4023eb0f,True,True,True,True,True,True,1,1,3,1,1,2,4,1
4d768cfe-3b20-4127-95b9-b4151b28afcc,77d3d923-8571-4523-8e69-234ebeb7a5fd,4f9fe058-fa71-4b85-9bad-482ade6b085e,True,True,True,True,True,True,1,1,3,1,1,1,5,2
